"","SoC","Exp"
"490",17310.3850711941,52383.3219569601
"491",17779.7470269861,41786.7506152619
"492",17544.0340294584,54145.9925315847
"493",18009.4584235485,57559.5764479643
"494",17545.7160392927,51996.4823515829
"495",17081.2531748145,52093.0886297353
"496",18354.5320417593,39018.0845429946
"497",16843.6360615398,48295.0386201276
"498",18556.5067543274,49829.4226302097
"499",17313.48596186,45592.5269287239
"500",17075.4156419397,57463.7663537017
"501",17019.0020397838,43499.2507164199
"502",17198.7379423733,61675.0324647933
"503",17886.4705292831,53653.5819267945
"504",18434.6279611996,53769.6337539668
"505",16518.740626142,49544.7758463832
"506",17074.0823069562,51281.5704139164
"507",17379.9219880272,43721.6652026123
"508",17802.2701516123,48213.2698258459
"509",17556.6502144804,55848.1213752163
"510",18249.314830116,56729.0106022847
"511",19014.8243454582,50500.4640299851
"512",17614.161287688,46768.5685175379
"513",19633.2050502537,59425.3286905998
"514",17082.5475933955,44850.0013927718
"515",18544.4620509653,54879.1305341268
"516",17625.1818173401,59747.2414271452
"517",17181.45998675,55514.7975240148
"518",15958.5315799795,55872.3737935912
"519",19312.3928684547,51694.049306097
"520",16702.4598697316,44962.8979895691
"521",18949.0811458024,49591.0827168754
"522",16737.9926653142,50109.8784673901
"523",16695.6953410063,43500.0005236217
"524",18443.6208027552,51873.36694117
"525",18155.7338287692,53610.05347121
"526",19926.5437378616,53290.3508277578
"527",17147.7603689696,52355.8052617844
"528",19424.812195298,56124.2438944004
"529",18180.0473711357,57533.5382487624
"530",16223.8018047024,61925.047957129
"531",16029.8920084557,42061.5238203294
"532",18829.6154680312,50718.7062112631
"533",19103.2214546811,46200.5472045198
"534",17436.9266957293,60752.8614448601
"535",16002.015731095,49486.3414551926
"536",15701.559061278,47529.3614926228
"537",16989.7868202475,43193.756522866
"538",16417.7051368813,48463.7460550085
"539",17686.4455774413,54344.6006093993
"540",16522.4096415475,49776.133384561
"541",17893.078390401,53352.9048752868
"542",16876.046452721,50985.8894806506
"543",17987.1619802088,62564.3124539741
"544",19318.8151394285,57126.2137967707
"545",17802.4009588657,49031.495524537
"546",18476.0250983855,48496.9068751964
"547",18771.7602182896,49766.4924138732
"548",17933.6079746141,50907.5454195556
"549",15278.704524214,47592.8898504724
"550",18243.7800819484,54741.6815870956
"551",15583.4447189518,51541.9809525813
"552",17231.2343266902,45339.3546735878
